DATE,QUARTERLY DATE,GDP
1/1/2005,05:Q1,12767.286
4/1/2005,05:Q2,12922.656
7/1/2005,05:Q3,13142.642
10/1/2005,05:Q4,13324.204
1/1/2006,06:Q1,13599.16
4/1/2006,06:Q2,13753.424
7/1/2006,06:Q3,13870.188
10/1/2006,06:Q4,14039.56
1/1/2007,07:Q1,14215.651
4/1/2007,07:Q2,14402.082
7/1/2007,07:Q3,14564.117
10/1/2007,07:Q4,14715.058
1/1/2008,08:Q1,14706.538
4/1/2008,08:Q2,14865.701
7/1/2008,08:Q3,14898.999
10/1/2008,08:Q4,14608.208
1/1/2009,09:Q1,14430.901
4/1/2009,09:Q2,14381.236
7/1/2009,09:Q3,14448.882
10/1/2009,09:Q4,14651.248
1/1/2010,10:Q1,14764.611
4/1/2010,10:Q2,14980.193
7/1/2010,10:Q3,15141.605
10/1/2010,10:Q4,15309.471
1/1/2011,11:Q1,15351.444
4/1/2011,11:Q2,15557.535
7/1/2011,11:Q3,15647.681
10/1/2011,11:Q4,15842.267
1/1/2012,12:Q1,16068.824
4/1/2012,12:Q2,16207.13
7/1/2012,12:Q3,16319.54
10/1/2012,12:Q4,16420.386
1/1/2013,13:Q1,16629.05
4/1/2013,13:Q2,16699.551
7/1/2013,13:Q3,16911.068
10/1/2013,13:Q4,17133.114
1/1/2014,14:Q1,17144.281
4/1/2014,14:Q2,17462.703
7/1/2014,14:Q3,17743.227
10/1/2014,14:Q4,17852.54
1/1/2015,15:Q1,17991.348
4/1/2015,15:Q2,18193.707
7/1/2015,15:Q3,18306.96
10/1/2015,15:Q4,18332.079
1/1/2016,16:Q1,18425.306
4/1/2016,16:Q2,18611.617
7/1/2016,16:Q3,18775.459
10/1/2016,16:Q4,18968.041
1/1/2017,17:Q1,19148.194
4/1/2017,17:Q2,19304.506
7/1/2017,17:Q3,19561.896
10/1/2017,17:Q4,19894.75
1/1/2018,18:Q1,20155.486
4/1/2018,18:Q2,20470.197
7/1/2018,18:Q3,20687.278
10/1/2018,18:Q4,20819.269
1/1/2019,19:Q1,21013.085
4/1/2019,19:Q2,21272.448
7/1/2019,19:Q3,21531.839
10/1/2019,19:Q4,21706.532
1/1/2020,20:Q1,21538.032
4/1/2020,20:Q2,19636.731
7/1/2020,20:Q3,21362.428
10/1/2020,20:Q4,21704.706
1/1/2021,21:Q1,22313.85
4/1/2021,21:Q2,23046.934
7/1/2021,21:Q3,23550.42
10/1/2021,21:Q4,24349.121
1/1/2022,22:Q1,24740.48
4/1/2022,22:Q2,25248.476
7/1/2022,22:Q3,25698.96
