Date,Auto Loan,Credit Card,Mortgage,HE Revolving
03:Q1,73.51,469.81,79.54,13.41
03:Q2,70.76,468.94,79.73,14.22
03:Q3,75.94,457.64,79.34,15.55
03:Q4,77.64,452.71,83.42,16.1
04:Q1,79.22,449.62,83.95,16.73
04:Q2,80.73,458.26,84.74,17.66
04:Q3,81.7,447.07,84.87,19.75
04:Q4,78.48,448.43,85.3,20.84
05:Q1,78.5,451.95,85.56,21.91
05:Q2,82.38,450.14,86.3,22.59
05:Q3,83.63,452.34,87.15,22.99
05:Q4,83.41,455.91,86.98,23.93
06:Q1,83.97,458.41,88.58,24.24
06:Q2,84.3,460.35,90.97,24.23
06:Q3,85.54,454.64,92.53,24.14
06:Q4,86.15,451.28,93.25,23.97
07:Q1,86.2,444.88,94.36,23.92
07:Q2,87.09,474.74,95.92,24.05
07:Q3,87.64,478.86,96.76,24.06
07:Q4,88.08,481.44,97.65,24.24
08:Q1,87.2,474.57,98.14,24.24
08:Q2,87.36,496.12,98,24.16
08:Q3,87.12,492.19,97.66,24.12
08:Q4,86.27,472.17,97.02,24
09:Q1,84.9,434.25,95.45,23.74
09:Q2,83.3,412.38,94.44,23.32
09:Q3,83.32,401.77,93.03,22.93
09:Q4,82.58,394.27,92.12,22.48
10:Q1,81.4,385.86,92.01,22.11
10:Q2,80.52,380.54,90.75,21.83
10:Q3,80.8,377.9,89.92,21.53
10:Q4,80.87,380.07,88.54,21.12
11:Q1,79.75,379.34,88.82,20.29
11:Q2,79.74,389.17,88.43,20.22
11:Q3,80.85,383.27,87.3,20.51
11:Q4,80.61,386.2,86.11,20.26
12:Q1,80.08,386.25,85.34,19.89
12:Q2,80.78,383.36,84.93,19.14
12:Q3,81.75,382.12,83.56,18.57
12:Q4,82.72,383.4,83.23,18.66
13:Q1,83.22,383.08,81.82,18.52
13:Q2,84.03,388.87,80.56,18.14
13:Q3,85.85,391.24,80.86,17.86
13:Q4,87.03,399.01,81.6,17.71
14:Q1,87.35,401.54,82.16,17.62
14:Q2,89.2,405.89,81.08,17.45
14:Q3,90.86,410.54,81.14,17.31
14:Q4,92.69,412.99,81.43,17.26
15:Q1,93.52,415.77,81.26,17.07
15:Q2,96.23,421.82,80.22,17.01
15:Q3,98.55,426.63,80.85,16.8
15:Q4,100.24,424.35,80.61,16.68
16:Q1,100.47,435.61,81.06,16.62
16:Q2,103.08,440.98,80.4,16.59
16:Q3,104.98,445.04,79.68,16.47
16:Q4,106.21,453.07,79.9,16.26
17:Q1,106.66,454.58,80.11,15.89
17:Q2,108.11,459.31,80.08,15.86
17:Q3,109.69,465.97,79.65,15.76
17:Q4,110.19,468.76,79.99,15.68
18:Q1,110.9,466.88,79.9,15.76
18:Q2,111.51,469.64,79.72,15.62
18:Q3,113.12,474.24,80.26,15.45
18:Q4,113.35,479.23,79.35,15.41
19:Q1,113.91,482.7,79.92,15.31
19:Q2,114.66,486.5,80.72,15.26
19:Q3,114.87,488.92,80.77,15.14
19:Q4,115.98,507.94,80.94,14.99
20:Q1,116.43,511.41,81.1,14.82
20:Q2,114.73,504.74,80.77,14.55
20:Q3,114.49,505.54,80.44,14.13
20:Q4,114.13,505.62,80.6,13.75
21:Q1,113.57,505.67,80.41,13.4
21:Q2,112.78,511.61,80.78,13.07
21:Q3,112.02,519.96,80.75,12.81
21:Q4,111.02,531.54,80.96,12.75
22:Q1,109.68,537.11,81.51,12.69
22:Q2,109.02,549.87,81.37,12.81
22:Q3,105.33,555.36,82.13,12.89
