Total Debt Balance by Age,,,,,,,Return to Table of Contents,,,,,,,
Trillions of Dollars,,,,,,,Source: New York Fed Consumer Credit Panel/Equifax,,,,,,,
,,,,,,,Note: Balances may not add up to totals due to a small number of individuals with unknown birthyears.,,,,,,,
quarter,18-29,30-39,40-49,50-59,60-69,70+,,,,,,,,
99:Q1,0.35,1.22,1.46,0.98,0.38,0.18,,,,,,,,
99:Q2,0.37,1.26,1.49,1.00,0.38,0.18,,,,,,,,
99:Q3,0.42,1.33,1.54,1.02,0.38,0.18,,,,,,,,
99:Q4,0.43,1.33,1.53,1.00,0.37,0.18,,,,,,,,
00:Q1,0.39,1.35,1.64,1.13,0.43,0.21,,,,,,,,
00:Q2,0.42,1.41,1.69,1.16,0.44,0.21,,,,,,,,
00:Q3,0.45,1.45,1.71,1.16,0.44,0.21,,,,,,,,
00:Q4,0.49,1.50,1.74,1.17,0.44,0.21,,,,,,,,
01:Q1,0.43,1.50,1.85,1.30,0.49,0.24,,,,,,,,
01:Q2,0.44,1.42,1.76,1.24,0.48,0.24,,,,,,,,
01:Q3,0.49,1.54,1.87,1.30,0.50,0.24,,,,,,,,
01:Q4,0.53,1.56,1.88,1.30,0.50,0.24,,,,,,,,
02:Q1,0.47,1.59,1.99,1.44,0.57,0.27,,,,,,,,
02:Q2,0.49,1.60,1.97,1.44,0.57,0.26,,,,,,,,
02:Q3,0.55,1.73,2.09,1.50,0.58,0.27,,,,,,,,
02:Q4,0.58,1.74,2.07,1.48,0.58,0.26,,,,,,,,
03:Q1,0.56,1.77,2.23,1.63,0.67,0.29,,,,,,,,
03:Q2,0.59,1.82,2.28,1.66,0.68,0.29,,,,,,,,
03:Q3,0.64,1.87,2.31,1.69,0.69,0.29,,,,,,,,
03:Q4,0.71,2.04,2.47,1.77,0.71,0.29,,,,,,,,
04:Q1,0.62,1.99,2.55,1.94,0.80,0.33,,,,,,,,
04:Q2,0.67,2.04,2.59,1.96,0.81,0.33,,,,,,,,
04:Q3,0.74,2.17,2.71,2.01,0.83,0.32,,,,,,,,
04:Q4,0.80,2.27,2.78,2.02,0.83,0.32,,,,,,,,
05:Q1,0.70,2.20,2.83,2.18,0.91,0.36,,,,,,,,
05:Q2,0.75,2.29,2.90,2.23,0.93,0.36,,,,,,,,
05:Q3,0.83,2.39,2.99,2.28,0.93,0.36,,,,,,,,
05:Q4,0.88,2.46,3.05,2.31,0.93,0.35,,,,,,,,
06:Q1,0.78,2.47,3.16,2.47,1.07,0.40,,,,,,,,
06:Q2,0.84,2.58,3.26,2.53,1.10,0.41,,,,,,,,
06:Q3,0.92,2.70,3.36,2.58,1.12,0.41,,,,,,,,
06:Q4,0.97,2.77,3.41,2.61,1.13,0.40,,,,,,,,
07:Q1,0.85,2.71,3.44,2.73,1.29,0.45,,,,,,,,
07:Q2,0.90,2.80,3.54,2.80,1.33,0.46,,,,,,,,
07:Q3,0.94,2.87,3.60,2.83,1.32,0.46,,,,,,,,
07:Q4,1.03,2.96,3.68,2.89,1.33,0.46,,,,,,,,
08:Q1,0.88,2.86,3.72,3.03,1.47,0.54,,,,,,,,
08:Q2,0.92,2.88,3.73,3.04,1.47,0.54,,,,,,,,
08:Q3,0.96,2.91,3.75,3.03,1.47,0.53,,,,,,,,
08:Q4,1.00,2.92,3.73,3.03,1.46,0.52,,,,,,,,
09:Q1,0.82,2.75,3.67,3.09,1.60,0.59,,,,,,,,
09:Q2,0.84,2.72,3.63,3.06,1.58,0.57,,,,,,,,
09:Q3,0.86,2.70,3.58,3.02,1.55,0.55,,,,,,,,
09:Q4,0.90,2.69,3.53,2.97,1.53,0.54,,,,,,,,
10:Q1,0.77,2.52,3.50,3.04,1.67,0.61,,,,,,,,
10:Q2,0.79,2.51,3.43,2.98,1.63,0.59,,,,,,,,
10:Q3,0.83,2.50,3.39,2.94,1.61,0.58,,,,,,,,
10:Q4,0.86,2.48,3.32,2.90,1.58,0.57,,,,,,,,
